10	3433.71968584
20	1698.94005292
30	1120.1370668
40	831.742742378
50	657.850193878
60	541.868819335
70	460.076389509
80	397.501005744
90	349.744503451
100	310.958993921
110	279.042780906
120	253.177831207
130	231.541911548
140	211.568387847
150	195.775728454
160	181.06332419
170	168.379494114
180	156.899762843
190	147.224296965
200	138.138898679
210	130.118323617
220	122.82613085
230	115.981964878
240	109.362193407
250	104.330618804
260	98.654239514
270	93.7341589756
280	89.0545129723
290	85.3654552897
300	80.4427361618
310	77.1935230634
320	73.8218345621
330	70.4764418669
340	67.690365172
350	64.4689963235
360	61.8381086845
370	59.4201599586
380	57.2509075379
390	54.7552358043
400	52.0792676268
410	50.5329054915
420	48.6147190947
430	46.451476828
440	44.8021381246
450	43.1530689124
460	41.5134705506
470	39.7599811202
480	38.3386695047
490	36.5696334978
500	35.3177494652
510	33.9369497577
520	32.5149362698
530	30.8547453286
540	29.3915100681
550	28.0513840621
560	26.9591983135
570	25.8491444844
580	24.5375296664
590	23.1656826556
600	21.7621895193
610	20.1601124923
620	19.2884809758
630	18.242404587
640	17.1338113544
650	15.3077615433
660	13.7991319263
670	11.7663880984
680	10.7114855034
690	8.18439253183
700	6.65769959077
710	4.63993881848
720	2.65439621188
730	0.539595960272
740	0.85223644131
750	0.364087279303
760	0.238052436161
770	0.737493685664
780	0.555377784408
790	0.318549088007
800	0.290902946222
